               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 143,            0.021637,            0.010548,             0.00297,             0.83969,             0.93129,              0.9447,             0.75596,            0.010925,           0.0034644,           0.0030075,            0.005314,            0.005314,            0.005314
                 144,            0.021481,             0.01052,            0.002575,              0.8332,             0.95579,              0.9367,              0.7346,            0.010968,           0.0034814,           0.0029239,            0.005281,            0.005281,            0.005281
                 145,            0.019323,            0.010314,           0.0027145,              0.8532,             0.92025,              0.9441,             0.74369,             0.01131,           0.0034905,           0.0027505,            0.005248,            0.005248,            0.005248
                 146,            0.019665,            0.010127,           0.0023942,             0.85586,             0.93273,             0.94632,             0.74376,            0.011115,           0.0033089,           0.0028062,            0.005215,            0.005215,            0.005215
                 147,            0.018392,            0.010264,           0.0017022,              0.8313,             0.94559,             0.94139,             0.73769,            0.011483,           0.0032735,           0.0027526,            0.005182,            0.005182,            0.005182
                 148,            0.020994,            0.009968,           0.0022409,             0.84196,             0.92969,             0.94191,             0.75569,            0.011133,           0.0034122,           0.0028007,            0.005149,            0.005149,            0.005149
                 149,            0.020359,             0.01028,           0.0022212,             0.88222,              0.9124,             0.94283,             0.75045,            0.011069,           0.0034433,           0.0029321,            0.005116,            0.005116,            0.005116
                 150,             0.01983,            0.010369,           0.0025461,             0.88431,             0.89955,             0.94456,             0.75239,            0.011338,           0.0032503,           0.0033419,            0.005083,            0.005083,            0.005083
                 151,            0.020099,            0.010347,           0.0026768,             0.84757,             0.92039,             0.94003,             0.73878,            0.011569,           0.0033369,           0.0032008,             0.00505,             0.00505,             0.00505
                 152,             0.01818,            0.010288,           0.0024871,             0.78842,             0.96443,             0.92695,             0.74215,            0.011443,           0.0034242,           0.0037041,            0.005017,            0.005017,            0.005017
